n1,n2,lr,batch,dropout,val_auc,val_acc,epochs_usadas
64,32,0.001,256,0.0,0.998481273651123,0.9909195303916931,13
128,64,0.001,256,0.0,0.9984763860702515,0.9953163862228394,16
128,64,0.001,64,0.0,0.9984567165374756,0.993500292301178,16
128,32,0.0005,256,0.0,0.9984453916549683,0.9906327724456787,22
128,64,0.0005,64,0.0,0.9984032511711121,0.9949340224266052,11
128,64,0.0005,128,0.2,0.9983938932418823,0.9901548624038696,15
128,64,0.001,128,0.0,0.9983914494514465,0.9954119920730591,11
64,64,0.0005,128,0.2,0.9983726143836975,0.9828904867172241,13
64,32,0.0005,64,0.0,0.9983681440353394,0.987478494644165,10
128,32,0.001,256,0.0,0.998355507850647,0.9915885925292969,16
128,32,0.0005,64,0.0,0.9983429908752441,0.9877652525901794,7
128,32,0.0005,128,0.2,0.9983422160148621,0.991970956325531,19
128,32,0.001,128,0.2,0.99834144115448,0.989007830619812,11
128,64,0.001,128,0.2,0.9983146786689758,0.9939782023429871,14
128,32,0.001,64,0.0,0.9982845783233643,0.9885299205780029,9
64,64,0.001,128,0.2,0.9982830286026001,0.9855667948722839,11
64,64,0.0005,64,0.0,0.9982700943946838,0.9868094325065613,7
128,64,0.0005,256,0.0,0.9982209801673889,0.9921621084213257,18
128,32,0.0005,64,0.2,0.9982008934020996,0.9861403107643127,9
128,32,0.001,128,0.0,0.998198926448822,0.9882431626319885,10
64,64,0.001,256,0.2,0.9981918931007385,0.9856624007225037,10
64,64,0.001,128,0.0,0.9981905221939087,0.992066502571106,10
128,64,0.001,64,0.2,0.9981892108917236,0.9900592565536499,11
64,64,0.0005,256,0.2,0.9981759786605835,0.9913974404335022,18
128,64,0.001,256,0.2,0.998175859451294,0.9823169708251953,8
128,64,0.0005,128,0.0,0.998175323009491,0.9915885925292969,11
128,32,0.001,64,0.2,0.9981621503829956,0.991970956325531,9
64,32,0.001,64,0.2,0.9981313943862915,0.9901548624038696,8
128,32,0.001,256,0.2,0.9981130361557007,0.9805964231491089,8
64,32,0.0005,256,0.2,0.9981114268302917,0.9900592565536499,13
64,32,0.001,128,0.2,0.9981089234352112,0.9891034364700317,9
64,64,0.001,64,0.0,0.9981072545051575,0.9872873425483704,9
64,64,0.0005,64,0.2,0.998099684715271,0.9848977327346802,10
64,32,0.001,128,0.0,0.9980900883674622,0.9816478490829468,6
128,64,0.0005,64,0.2,0.9980675578117371,0.9844198226928711,7
128,32,0.0005,256,0.2,0.9980623126029968,0.9826037287712097,11
64,64,0.001,256,0.0,0.9980500340461731,0.9859491586685181,7
128,64,0.0005,256,0.2,0.9980053901672363,0.9805008769035339,12
64,32,0.001,256,0.2,0.9980050325393677,0.9826992750167847,12
64,32,0.0005,256,0.0,0.9979403018951416,0.9826992750167847,12
64,32,0.0005,128,0.0,0.997750461101532,0.992066502571106,8
64,32,0.0005,128,0.2,0.9976251721382141,0.9773465991020203,8
64,32,0.0005,64,0.2,0.9975964426994324,0.9767730832099915,7
64,32,0.001,64,0.0,0.997327446937561,0.9870961308479309,5
64,64,0.001,64,0.2,0.9973258972167969,0.9877652525901794,5
64,64,0.0005,128,0.0,0.9969082474708557,0.9942649602890015,15
64,64,0.0005,256,0.0,0.9966583847999573,0.9917797446250916,19
128,32,0.0005,128,0.0,0.9966526031494141,0.989007830619812,5
